name,lng,lat,addr,cum_km,offset_m,side,충전기수,급속기수,최대출력_kW,충전소명
칠서(양평) 휴게소 전기차충전소,128.4969427509956,35.370913934097096,경남 함안군 칠서면 계룡로 122-1,58.18,200,1,1,,,(고속도로)칠서휴게소 양평방향
칠서휴게소 양평방향 주차장,128.496699026472,35.3703473789708,경남 함안군 칠서면 계룡로 122-1,58.18,133,1,1,,,(고속도로)칠서휴게소 양평방향
칠서휴게소 양평방향,128.496770944427,35.3709052480576,경남 함안군 칠서면 계룡로 122-1,58.18,194,1,1,,,(고속도로)칠서휴게소 양평방향
파스쿠찌 칠서휴게소양평방향점,128.49675242669,35.3709153909159,경남 함안군 칠서면 계룡로 122-1,58.18,195,1,1,,,(고속도로)칠서휴게소 양평방향
칠서휴게소(양평방향) 전기차충전소,128.4969427509956,35.370913934097096,경남 함안군 칠서면 계룡로 122-1,58.18,200,1,1,,,(고속도로)칠서휴게소 양평방향
칠서휴게소 (양평방향) (급) 전기차충전소,128.4969427509956,35.370913934097096,경남 함안군 칠서면 계룡로 122-1,58.18,200,1,1,,,(고속도로)칠서휴게소 양평방향
ex화물차라운지 칠서휴게소 양평방향,128.496946369961,35.3714077610286,경남 함안군 칠서면 계룡로 122-1,58.59,184,1,1,,,(고속도로)칠서휴게소 양평방향
칠서휴게소충전소 양평방향,128.49639010275334,35.372566418645356,경남 함안군 칠서면 계내리 27-3,58.59,46,1,1,,,(고속도로)칠서휴게소 양평방향
칠서휴게소주유소 양평방향,128.49677265051045,35.37230843541246,경남 함안군 칠서면 계룡로 122,58.59,88,1,1,,,(고속도로)칠서휴게소 양평방향
칠서휴게소 2주차장,128.496690719743,35.3715659392272,경남 함안군 칠서면 계룡로 122-1,58.59,160,1,1,,,(고속도로)칠서휴게소 양평방향
우포휴게소 화장실,128.493369615367,35.5304407984285,경남 창녕군 창녕읍 경남대로 4514,77.76,111,1,0,,,
남성주휴게소 (양평) 전기차충전소,128.3199064588122,35.8573018434403,경북 성주군 용암면 중부내륙고속도로 76,119.7,184,1,0,,,
곰작골나주곰탕 남성주휴게소양평방향점,128.319991725248,35.8574369847189,경북 성주군 용암면 중부내륙고속도로 76,119.7,201,1,0,,,
남성주참외휴게소 충전소 양평방향,128.319649211341,35.8587456555898,경북 성주군 용암면 중부내륙고속도로 76,120.1,100,1,0,,,
ex화물차라운지 남성주참외휴게소 양평방향,128.319824787327,35.8583183700616,경북 성주군 용암면 중부내륙고속도로 76,120.1,143,1,0,,,
남성주참외휴게소 양평방향,128.320047988243,35.8576923014736,경북 성주군 용암면 중부내륙고속도로 76,120.1,210,1,0,,,
남성주참외휴게소 양평방향 주차장,128.319495623255,35.8578948268869,경북 성주군 용암면 중부내륙고속도로 76,120.1,166,1,0,,,
성주휴게소양평방향 수소충전소,128.26123758431817,36.00779576915097,경북 성주군 초전면 중부내륙고속도로 98,140.7,222,1,0,,,
코바코 성주휴게소양평방향점,128.2614512059548,36.00797708962895,경북 성주군 초전면 중부내륙고속도로 98,140.7,249,1,0,,,
성주휴게소 양평방향,128.2615001326551,36.00798495582366,경북 성주군 초전면 중부내륙고속도로 98,140.7,253,1,0,,,
성주휴게소주유소 양평방향,128.26163703519086,36.0082935162933,경북 성주군 초전면 중부내륙고속도로 98,140.7,282,1,0,,,
성주양평 휴게소,128.261639238706,36.0082925919182,경북 성주군 초전면 중부내륙고속도로 98,140.7,282,1,0,,,
파스쿠찌 성주휴게소(양평방향),128.261639238706,36.0082925919182,경북 성주군 초전면 중부내륙고속도로 98,140.7,282,1,0,,,
성주(양평) 휴게소 2 전기차충전소,128.26096116003308,36.00750129148678,경북 성주군 초전면 중부내륙고속도로 98,140.7,185,1,0,,,
성주휴게소(양평방향) 전기차충전소,128.26095967004,36.0076166562276,경북 성주군 초전면 중부내륙고속도로 98,140.7,191,1,0,,,
성주(양평) 휴게소 1 전기차충전소,128.26106094155782,36.007638120516404,경북 성주군 초전면 중부내륙고속도로 98,140.7,200,1,0,,,
연풍휴게소 전기차충전소,128.011648928588,36.7547417309615,충북 괴산군 연풍면 중원대로 190,237.94,795,1,0,,,
연풍휴게소 커피숍,128.011648928588,36.7547417309615,충북 괴산군 연풍면 중원대로 190,237.94,795,1,0,,,
연풍휴게소,128.011609857865,36.7547510739551,충북 괴산군 연풍면 중원대로 190,237.94,793,1,0,,,
조령휴게소,128.007988433125,36.7542411616135,충북 괴산군 연풍면 중원대로 221,238.14,500,1,0,,,
이화령휴게소 자동차용품점,128.00799386649066,36.7542285004657,충북 괴산군 연풍면 중원대로 221,238.14,500,1,0,,,
조령휴게소 전기차충전소,128.008093553409,36.7542303591066,충북 괴산군 연풍면 중원대로 221,238.14,508,1,0,,,
이태리휴게소,127.996229218358,36.7644476167314,충북 괴산군 연풍면 향교로 24-1,239.44,685,1,0,,,
