출발,도착,구간거리_km,구간시간_분,평균속도_kmh,누적거리_km
부산 물류센터,파스쿠찌 칠서휴게소양평방향점,58.38,53.8,65.1,58.38
파스쿠찌 칠서휴게소양평방향점,칠서휴게소 양평방향,20.58,25.8,47.8,78.96
칠서휴게소 양평방향,칠서휴게소 양평방향 주차장,20.52,26.0,47.4,99.48
칠서휴게소 양평방향 주차장,칠서(양평) 휴게소 전기차충전소,0.06,0.1,25.2,99.54
칠서(양평) 휴게소 전기차충전소,칠서휴게소(양평방향) 전기차충전소,0.0,0.0,,99.54
칠서휴게소(양평방향) 전기차충전소,칠서휴게소 (양평방향) (급) 전기차충전소,0.0,0.0,,99.54
칠서휴게소 (양평방향) (급) 전기차충전소,칠서휴게소주유소 양평방향,0.15,0.5,18.4,99.69
칠서휴게소주유소 양평방향,칠서휴게소충전소 양평방향,0.03,0.1,18.6,99.72
칠서휴게소충전소 양평방향,ex화물차라운지 칠서휴게소 양평방향,20.45,25.7,47.7,120.17
ex화물차라운지 칠서휴게소 양평방향,칠서휴게소 2주차장,0.02,0.1,17.1,120.19
칠서휴게소 2주차장,곰작골나주곰탕 남성주휴게소양평방향점,61.4,42.4,86.9,181.59
곰작골나주곰탕 남성주휴게소양평방향점,남성주휴게소 (양평) 전기차충전소,33.47,31.0,64.8,215.06
남성주휴게소 (양평) 전기차충전소,ex화물차라운지 남성주참외휴게소 양평방향,0.11,0.6,10.9,215.17
ex화물차라운지 남성주참외휴게소 양평방향,남성주참외휴게소 양평방향 주차장,33.44,30.9,64.9,248.61
남성주참외휴게소 양평방향 주차장,남성주참외휴게소 충전소 양평방향,0.09,0.2,20.6,248.7
남성주참외휴게소 충전소 양평방향,남성주참외휴게소 양평방향,29.59,26.3,67.5,278.28
남성주참외휴게소 양평방향,파스쿠찌 성주휴게소(양평방향),23.27,25.4,55.0,301.56
파스쿠찌 성주휴게소(양평방향),성주휴게소(양평방향) 전기차충전소,40.57,33.5,72.8,342.13
성주휴게소(양평방향) 전기차충전소,성주(양평) 휴게소 1 전기차충전소,0.01,0.1,8.4,342.13
성주(양평) 휴게소 1 전기차충전소,성주휴게소양평방향 수소충전소,0.02,0.1,9.9,342.16
성주휴게소양평방향 수소충전소,코바코 성주휴게소양평방향점,0.03,0.1,10.4,342.18
코바코 성주휴게소양평방향점,성주휴게소 양평방향,0.0,0.0,7.2,342.18
성주휴게소 양평방향,성주휴게소주유소 양평방향,0.04,0.2,10.0,342.22
성주휴게소주유소 양평방향,성주양평 휴게소,0.0,0.0,,342.22
성주양평 휴게소,성주(양평) 휴게소 2 전기차충전소,40.56,33.3,73.0,382.78
성주(양평) 휴게소 2 전기차충전소,연풍휴게소,97.18,65.5,89.0,479.96
연풍휴게소,연풍휴게소 전기차충전소,0.33,0.6,31.9,480.29
연풍휴게소 전기차충전소,조령휴게소,4.14,4.0,62.6,484.42
조령휴게소,조령휴게소 전기차충전소,0.01,0.0,32.4,484.43
조령휴게소 전기차충전소,이화령휴게소 자동차용품점,6.31,6.6,57.5,490.75
이화령휴게소 자동차용품점,인천국제공항 T1,197.58,150.3,78.9,688.33
