老磊,面傈规侥,00矫,01矫,02矫,03矫,04矫,05矫,06矫,07矫,08矫,09矫,10矫,11矫,12矫,13矫,14矫,15矫,16矫,17矫,18矫,19矫,20矫,21矫,22矫,23矫
2025-01-01,肯加,6281.8473,5816.5116,5038.1362,4108.3972,3234.6062,2441.8466,1878.1947,1545.8045,1347.0958,1450.2491,1763.8523,2144.5913,2405.8957,2590.7602,2726.116,2920.6808,3281.9182,3813.9832,4581.7951,5236.7762,5799.6695,6076.7526,6208.7675,6036.7385
2025-01-01,鞭加,3636.6061,3125.5794,2464.8456,2032.8296,2352.3484,2776.0991,3136.3859,3796.7254,6687.4121,8295.0339,10315.4049,11237.4931,12227.2323,11885.3977,12179.0908,11709.8437,10950.4843,9720.5741,9034.9015,7889.0361,6911.7145,5064.9333,4637.3561,3997.2822
2025-01-02,肯加,5350.8827,4482.3887,3626.7407,2839.9947,2155.9687,1498.9276,1048.6409,816.1189,859.3722,1090.2556,1298.5326,1485.1788,1666.7934,1789.7735,1823.2275,2212.21,2939.6071,3777.0609,4957.711,6009.2752,6524.6735,7000.7246,7263.3072,6805.2388
2025-01-02,鞭加,2306.4169,1661.4999,869.1325,852.5574,1278.6938,2165.0251,3203.8729,4552.7202,8069.704,11476.2555,12553.9831,14165.9225,14206.4241,14012.7016,14798.3018,14102.8126,14042.2965,13784.7081,11971.4516,11681.8178,8768.5441,8103.5771,5716.1493,5108.4665
2025-01-03,肯加,5943.4964,5000.4384,3988.5977,3082.2015,2323.8283,1643.7583,1230.5539,969.2473,1003.3497,1308.7687,1540.1418,1788.1315,1924.7603,1920.9083,2074.9574,2574.621,3512.7324,4064.7768,5331.7553,6820.1686,8330.5357,9252.2947,12765.4168,9965.3774
2025-01-03,鞭加,2915.2122,2157.2901,1692.0574,963.7035,1331.754,2489.3592,3435.7609,5762.3234,7307.1198,11452.471,11906.6114,13973.4085,16380.2198,14735.6968,13796.3138,14923.8939,13770.5772,13794.311,12305.7201,11745.4202,9198.0421,8946.4586,7578.298,5896.8971
2025-01-04,肯加,7927.8746,6212.4686,5061.7196,4077.7036,3019.1368,2165.0435,1611.5279,1331.312,1248.6256,1308.7288,1589.049,1780.7469,2033.1949,2334.9477,2635.1587,3007.9525,3513.14,3962.3536,4558.6004,5114.6602,5697.3123,6201.9773,4057445.099,4056992.109
2025-01-04,鞭加,3648.9498,2582.6322,2129.4411,1755.9123,2015.083,2425.8303,3521.6125,4687.5247,6568.7029,9929.3251,11910.3866,13550.1638,12875.6266,13188.0167,13812.2558,13093.8441,12342.7294,11060.7145,9131.3964,8325.5092,8051.9144,6535.28,6078.6009,5373.8572
2025-01-05,肯加,4056475.979,4055888.727,4055147.587,4054460.847,4053756.033,4053111.9,1646.3681,1323.5409,1287.9587,1461.4705,1751.7087,2093.1793,2314.9652,2632.91,2980.7692,3171.4927,3358.5404,3922.6265,4702.7761,5133.4512,5563.5602,5767.2182,5827.5254,5542.0125
2025-01-05,鞭加,2634.9319,1873.2577,1481.9079,1007.5424,1207.7318,2193.2049,2368.7087,3608.8637,5455.6471,7255.0104,8813.5515,9950.9207,11054.3198,11646.5756,12280.7056,11540.2821,11088.1808,10147.9692,8461.6945,8376.0613,7108.9167,5447.6572,4914.9467,3301.1091
2025-01-06,肯加,4869.8945,4079.8999,3221.7989,2319.3043,1695.7863,1242.5123,929.2589,797.7806,897.2887,1172.4061,1431.611,1635.174,1770.4977,1833.6747,1927.5981,2383.237,3032.2635,3928.0931,5551.0355,6860.5872,7673.7156,7796.6067,8420.2517,7974.8011
2025-01-06,鞭加,2501.1187,1540.7286,1100.3465,1001.7182,1661.1561,2167.7315,2582.5732,4396.7158,6825.686,10367.046,10568.6115,12348.3228,14345.8819,13538.8543,13621.4225,13347.5938,14594.4583,13915.7037,11438.3439,11052.5205,9320.8488,7851.1083,5652.036,4625.9951
2025-01-07,肯加,7066.0657,5532.0577,4458.9227,3348.1063,2462.4763,2238.1855,1286.133,1535.1919,946.4078,1229.3938,1431.0791,1579.7109,1760.7492,1766.0932,2017.1719,2518.0045,3266.6165,4186.7285,5674.2613,6995.6877,7637.9587,7863.925,7958.7433,7537.4044
2025-01-07,鞭加,3138.6736,2384.0439,1249.5538,1343.6308,1790.8031,2598.6565,2972.194,4977.0496,6607.6772,9363.67,11860.4573,13367.5134,16017.4663,14382.2618,14328.176,15118.112,14557.2303,14387.6421,13174.1047,11656.3922,9202.1994,7671.7577,6103.0053,4932.1298
2025-01-08,肯加,6538.7685,5463.424,4498.2142,3445.8572,2476.6167,1758.4267,1397.3086,1100.6776,1067.6504,1289.6445,1483.8938,1688.4871,1844.3269,1794.5543,1899.0845,2206.499,2931.2098,3944.44,5270.1996,6678.5574,7486.2524,7825.6296,8055.1776,7723.5175
2025-01-08,鞭加,3156.7545,2234.0938,1574.647,1024.0075,1563.3677,2837.6351,3154.4363,5173.662,7285.6342,11157.8643,12236.1304,13697.5733,15360.0907,14617.0385,14743.6487,14288.2856,14647.0392,14059.5348,12537.7055,12180.1659,9805.6334,8030.949,6545.6886,4949.992
2025-01-09,肯加,6826.0356,5660.3516,4498.2796,3399.3115,2533.7615,1783.0718,1331.9221,988.6268,1075.7669,1315.0764,1583.9404,1869.8028,2139.7406,2208.0546,2279.93,2783.3011,3560.2066,4823.5741,6370.0204,7840.3153,8630.2215,9025.7249,9314.9528,8951.4645
2025-01-09,鞭加,3535.2382,2576.6462,2053.2151,1334.5886,1495.9474,2539.7515,3530.1618,5059.9482,7775.8036,11609.0616,13068.8,14610.0584,17020.6931,16490.4267,15957.254,15845.7066,17170.0298,16449.6628,14516.3748,14139.126,10970.6189,9596.0895,8549.0824,7567.6042
2025-01-10,肯加,8025.5497,6665.8267,5335.1197,4096.8187,3033.9239,32048.7859,1574.3049,1193.9472,1278.3293,1642.7351,2046.9396,2351.1095,2465.6996,2499.2535,2683.215,3058.9592,3516.1303,4541.8786,5917.5696,7334.6321,8142.01,8695.025,8799.6021,8401.3374
2025-01-10,鞭加,5149.0181,3249.2694,1958.6065,1522.331,1970.8061,2879.8598,3652.2713,5658.2096,8360.8193,13229.4836,14918.7541,16464.5274,18700.2047,18844.4251,18113.9298,18187.5804,18405.7107,15795.3134,14163.7936,12812.8747,11630.675,10266.5563,7921.3895,6145.9796
2025-01-11,肯加,7593.7047,6487.7239,5442.461,4384.0382,3344.498,2543.877,1962.111,1604.7646,1530.6051,1660.2356,1938.4302,2304.3898,2753.3686,2962.688,3136.4243,3342.7691,3641.2014,4278.4838,5217.0712,5818.809,6180.1271,6540.7459,6766.861,6612.5352
2025-01-11,鞭加,4085.1317,3003.9693,2309.9864,1911.5744,2250.3072,2849.2977,3066.8165,5111.2902,8238.0405,9622.757,13367.9892,14332.4077,14613.3301,15427.9682,15668.9664,15209.8973,14009.5469,11840.742,10264.9764,9117.1884,8442.2238,7113.3899,5225.9618,4595.3875
2025-01-12,肯加,5933.5714,5322.9604,4442.5114,3721.1114,2933.2284,2300.4324,1908.2404,1493.2632,1465.6772,1627.0983,1979.7045,2361.4116,2542.378,2838.0026,3189.048,3678.5199,4249.5231,4818.5399,5412.02,6025.0104,6504.8373,6742.4099,6712.2023,6160.9261
2025-01-12,鞭加,3256.3279,1959.4451,1514.1951,1577.9892,1742.5803,2008.7398,2277.3019,4178.2914,6712.9698,11372.7436,10529.5517,11609.2213,12418.2544,12945.6091,13456.4021,13872.7271,12512.1837,10788.1988,10032.0189,9695.7196,7609.2749,6799.4348,4894.9445,4365.6821
2025-01-13,肯加,5202.6373,4187.4123,3390.9963,2646.6963,1985.7563,1419.0785,1020.0409,966.3858,1024.6906,1212.4037,1544.6287,1818.6549,2091.1707,2123.2811,2348.9075,2788.0336,3331.2111,4099.3816,5553.5631,6678.7218,7216.0538,7743.5224,7950.1081,7375.5245
2025-01-13,鞭加,2321.0882,1470.9432,1000.0506,997.6196,1258.4605,1932.2437,2984.6011,5518.2439,7591.8901,10744.7964,12044.365,13941.6645,15881.7402,15358.1034,13924.1179,14778.9602,15273.1401,13774.2006,11456.6391,10795.1004,8903.2705,7791.2452,6268.2075,4323.9549
2025-01-14,肯加,6498.3582,5370.0522,4150.5788,3225.1246,2521.0126,1822.2106,1354.8147,1078.0611,973.1726,1127.0641,1359.7541,1495.1697,1565.1885,1662.2891,1836.9263,2244.1303,3060.9672,4121.3286,5528.7886,6682.2664,7244.8361,7770.9838,7945.7432,7527.5701
2025-01-14,鞭加,2951.0375,2186.5647,1259.3927,1030.8153,1660.6937,2047.8498,2960.8959,5054.7202,7709.4765,11040.9886,12374.3031,12247.2833,14525.7758,13317.5999,13003.8898,13035.7957,13763.6756,12867.8108,11907.3141,10538.0601,8616.7457,6952.2853,5796.7205,5012.9055
2025-01-15,肯加,6627.3522,5538.6292,4395.1035,3278.3125,2439.4955,1814.2305,1414.5758,1114.4848,1017.3166,1180.5765,1397.0079,1718.3992,1900.6441,1909.2282,1961.1621,2430.6147,3138.3657,4141.4958,5583.5064,6929.9519,7519.1389,7932.9636,8231.6382,7909.3013
2025-01-15,鞭加,2668.604,2389.7666,1509.2037,1123.5937,1653.5196,2600.5183,3096.2818,5238.6395,7251.1681,10004.6718,11578.5988,13848.0002,15423.6685,15236.2411,15854.6935,15290.6932,15661.646,13888.0871,13074.7284,12436.9157,10616.2825,9434.062,6790.4204,5271.9123
2025-01-16,肯加,7028.6425,5891.1995,4766.3129,3680.5205,2791.8285,2089.3085,1493.3659,1212.1009,1164.3103,1344.2447,1607.5255,1753.5188,1913.1528,2014.7706,2238.9995,2631.3596,3458.2331,4303.8347,5519.3228,6584.7913,7194.4666,7648.7195,7929.2889,7659.4699
2025-01-16,鞭加,3488.8501,2733.2849,1850.8071,1606.0254,1675.1789,2581.0149,3077.9283,5286.0314,8067.9941,11482.9916,12440.9881,14006.3252,16004.5346,15489.2656,15171.3909,15987.7895,15613.4235,15277.3874,13026.8121,12025.9519,9011.8055,8002.218,6351.6776,5068.7572
2025-01-17,肯加,6914.5419,5849.213,4731.7308,3722.5028,2785.9078,2051.9475,1469.6275,1211.6749,1276.6857,1471.4928,1705.862,2000.1704,2070.2337,2096.2901,2148.9458,2415.9504,2969.8783,4017.3265,5140.4035,6323.8982,6957.7735,7550.084,7900.4183,7617.4697
2025-01-17,鞭加,2219.0407,2767.8819,2108.5956,1570.1482,1718.6295,2693.5061,3318.7128,5186.0824,8389.7785,11240.1219,12616.1993,14214.784,15038.2633,14977.5138,14884.4822,15024.7007,14562.1616,14526.1311,12647.5483,12080.0168,10319.8555,8278.2327,7583.3627,5755.8962
2025-01-18,肯加,6985.3899,6157.6979,5066.5677,4009.7027,3196.7417,2425.7814,1813.5972,1390.6372,1330.7244,1575.6349,1794.0461,1988.238,2234.8585,2381.1765,2526.0622,2850.6544,3248.8002,3694.4766,4416.6819,5159.4076,5627.7473,6071.422,6344.1714,6241.0044
2025-01-18,鞭加,3427.4332,3003.3002,2319.0626,1766.4603,2009.0706,2853.9079,3101.7713,5226.2114,8052.1967,10266.2254,12925.2801,13023.426,14055.1204,12679.1048,13217.2314,12749.6106,12378.4255,12464.2817,10743.9501,9721.6891,7768.9327,6451.2662,5599.1566,4633.5551
2025-01-19,肯加,5774.7269,5046.4169,4324.9936,3597.7796,2865.3696,2223.8476,1704.6523,1285.1353,1189.004,1312.2761,1591.4923,1893.16,2075.0022,2335.6433,2643.9663,2996.633,3485.7935,4182.5438,5112.9197,5686.9806,6106.1276,6398.7497,6536.4896,6123.8004
2025-01-19,鞭加,2931.5556,2298.2578,1531.9241,978.8437,1585.0025,1873.185,2521.0782,3772.0832,5565.3538,7727.7678,9859.0125,11262.3356,12461.996,12666.5632,12508.2767,12019.3764,11596.9687,10376.5055,9683.3738,7964.2906,6359.6427,5659.0263,4034.4323,3920.2016
2025-01-20,肯加,5389.4993,4571.8963,3700.8737,2908.7748,2158.0101,1580.5778,1180.4586,906.6686,922.7454,1037.2814,1268.664,1490.0803,1751.9839,1863.5269,1906.4441,2295.7434,2946.008,3757.5411,4971.004,6298.1101,6995.8248,7458.6302,7847.8765,7492.8725
2025-01-20,鞭加,2808.3149,1812.0902,1281.6667,1082.9321,1351.8687,2314.3379,3077.9782,4973.295,7755.3616,10065.6769,10900.3548,13562.7315,15123.9795,13440.1092,13201.9347,13853.6138,13627.9917,13655.4746,11308.5182,10622.2365,9267.7269,7486.8038,5594.1106,4232.3735
2025-01-21,肯加,6659.3032,5684.5379,4508.9579,3422.8279,2613.7913,1887.4701,1394.6981,1002.2738,974.7663,1041.8342,1272.6732,1640.3232,1595.6045,1519.0022,1591.7851,2079.0895,2758.8579,3702.1479,4982.8034,6306.833,7175.7939,7541.9165,7837.6973,7571.4998
2025-01-21,鞭加,2729.917,2439.3674,1776.0567,1133.6005,1512.6926,2408.5806,2903.6571,5360.9449,7159.3083,11097.7649,11317.2401,13350.375,14733.6353,14285.4559,13609.8464,14554.5722,14152.1222,13539.2943,11774.6021,11238.2038,8549.1832,7373.6254,6614.6031,5178.1499
2025-01-22,肯加,6692.9458,5685.6276,4663.6194,3632.6224,2763.7052,2045.4552,1574.3452,1231.0851,1121.9163,1260.9612,1540.7408,1752.8658,1703.2134,1595.6643,1760.9646,2170.2304,2796.9259,3764.9852,5111.6455,6465.7138,7118.2969,7523.1874,7725.5211,7568.7011
2025-01-22,鞭加,3113.2165,2538.1178,1850.7146,1406.6963,1624.1476,2454.3131,2943.9983,5000.2431,7376.2726,10715.4396,21070608.54,12822.2946,15020.6637,14641.7361,13656.2864,13823.6762,13460.4032,12895.6399,12036.2,11224.5021,9819.8205,7761.8705,6677.0134,5415.4218
2025-01-23,肯加,6713.8883,5635.6185,4719.5738,3628.2278,2757.2168,1959.2666,1443.324,1165.026,1037.9999,1062.2909,1349.9831,1680.0198,1732.432,1772.9568,1779.8647,2031.4024,2722.6344,3574.8348,4812.2466,6203.8419,7058.2658,7783.3644,8326.4856,8216.1187
2025-01-23,鞭加,2698.8382,2457.9169,1877.8981,1262.8148,1327.8248,2492.627,3381.8569,4967.5614,7597.2571,10984.9406,11645.4102,14121.9916,15266.2969,14726.6753,14288.9818,13555.7814,12843.3333,14095.5775,11532.376,12357.3266,9748.7771,7362.4168,5752.8501,5434.203
2025-01-24,肯加,7429.8567,6341.3867,5233.0227,4153.8239,3124.3519,2334.0589,1692.4109,1323.545,1220.597,1423.8051,1597.4328,1952.2042,2076.201,2287.418,2361.4091,2753.3011,3472.1574,4347.7273,5330.9234,6404.712,7086.4655,7584.9188,8001.4098,7720.3093
2025-01-24,鞭加,2940.3759,2449.1543,1971.8993,1519.0015,1525.6183,2780.7303,3916.7505,5976.3422,8965.5669,11904.1578,12313.3102,13146.9492,16082.0642,15480.142,14096.7051,14470.3078,13451.3166,13486.2712,12461.7786,11568.8167,10352.1279,7857.974,6842.5114,6081.3315
2025-01-25,肯加,7041.2555,6241.1855,5274.2715,4204.323,3166.182,2392.312,1844.809,1559.5274,1448.9685,1559.1821,1736.2611,1908.7367,2226.7106,2527.073,2795.2745,3092.578,3461.0797,3924.5412,4671.8715,5419.2893,5929.3312,6318.0752,6590.4349,6368.2135
2025-01-25,鞭加,3292.819,2631.3861,2091.5324,1707.2741,2185.8552,2638.4692,3263.577,5183.0219,7606.3632,9367.5528,12364.7832,13140.9808,15131.2322,14028.2544,15056.4068,13805.5547,12258.5046,10772.7275,9856.9602,8608.0742,7176.9959,6215.1713,5245.5425,4103.7429
2025-01-26,肯加,5769.3432,5050.4209,4171.7609,3283.1018,2633.6158,2025.8058,1528.6977,1265.4946,1223.5398,1438.1204,1673.8096,1905.1135,2113.8745,2379.408,2562.4817,2883.5391,3304.6165,3688.9585,4279.9108,5022.96,5543.0316,5937.8495,6166.4844,6024.1288
2025-01-26,鞭加,2002.2519,1877.8513,1640.8312,1386.6667,1393.3393,1430.4704,2861.5016,4525.272,6487.9624,7879.8878,10556.0084,13203.1927,13102.7964,13076.8661,13754.8073,13628.5839,13003.6226,12242.5007,10725.5172,9586.2739,8377.226,6844.249,5890.1268,4266.4046
