시도,시군구,본부,사업소,충전소ID,충전소명,주소,충전기ID,충전기명,용도,충전기용량,충전방식,충전구분,충전량,충전시간,충전분,충전종료일,충전시작시각,충전종료시각
경상남도,창원시,경남,경남직할,196,창원스포츠파크,경상남도 창원시 의창구 원이대로 450(두대동145),621,완속01,공용,7,BC타입5핀(완속),완속,22.06,7,55,2026-03-01,2026-02-28 16:04:36,2026-03-01 00:00:00
서울특별시,서초구,남서울,서초,726,서초포레스타5단지,서울특별시 서초구 신원동 374,2300,완속01,아파트용,7,BC타입5핀(완속),완속,18.16,2,59,2026-03-01,2026-02-28 21:00:07,2026-03-01 00:00:01
경상남도,양산시,부산울산,양산,1120,대방노블랜드 연리지2차,경상남도 양산시 물금읍 야리로 76,3416,완속03,아파트용,7,BC타입5핀(완속),완속,37.26,5,15,2026-03-01,2026-02-28 18:44:57,2026-03-01 00:00:01
제주특별자치도,제주시,제주,제주직할,1772,대유대림 아파트,제주특별자치도 제주시 일도이동 남광로 181,5219,완속02,아파트용,7,BC타입5핀(완속),완속,47.37,7,8,2026-03-01,2026-02-28 16:51:20,2026-03-01 00:00:01
충청남도,천안시,대전세종충남,천안,1503,용곡1차세광엔리치타워 아파트,충청남도 천안시 동남구 풍세로 801-23,4477,완속03,아파트용,7,BC타입5핀(완속),완속,42.75,7,22,2026-03-01,2026-02-28 16:37:29,2026-03-01 00:00:01
경상북도,경산시,대구,경산,4408,삼성현역사문화공원 제1주차장,경상북도 경산시 남산면 삼성현공원로 59 (인흥리),10573,급속02,공용,100,DC콤보(급속),급속,8.63,0,11,2026-03-01,2026-02-28 23:48:09,2026-03-01 00:00:02
인천광역시,계양구,인천,인천직할,3972,효성동금호어울림아파트,"인천광역시 계양구 아나지로198번길 11 (효성동, 금호어울림아파트)",10169,완속01,아파트용,7,BC타입5핀(완속),완속,43.38,23,11,2026-03-01,2026-02-28 00:48:10,2026-03-01 00:00:06
서울특별시,강동구,남서울,강동송파,2685,둔촌푸르지오아파트,서울특별시 강동구 둔촌동 명일로 172,7081,완속03,아파트용,7,BC타입5핀(완속),완속,6.8,1,38,2026-03-01,2026-02-28 22:21:48,2026-03-01 00:00:13
서울특별시,중구,서울,서울직할,8119,서울직할(공용),서울특별시 중구 남대문로 92,6659,급속02,공용,50,DC차데모+DC콤보+AC3상(급속),급속,13.19,0,23,2026-03-01,2026-02-28 23:36:23,2026-03-01 00:00:14
충청북도,충주시,충북,충주,51,수안보연수원,충청북도 충주시 수안보면 조산공원길 64,95,급속01,업무용,100,DC콤보(급속),급속,12.78,0,26,2026-03-01,2026-02-28 23:34:13,2026-03-01 00:00:18
